date,calls
01/01/2021,110569
01/02/2021,105581
01/03/2021,140809
01/04/2021,135149
01/05/2021,149069
01/06/2021,133741
01/07/2021,127883
01/08/2021,133660
01/09/2021,124047
01/10/2021,125781
01/11/2021,116365
01/12/2021,135265
01/01/2022,117563
01/02/2022,114191
01/03/2022,140907
01/04/2022,126119
01/05/2022,121089
01/06/2022,123736
01/07/2022,120359
01/08/2022,118066
01/09/2022,121881
01/10/2022,130322
01/11/2022,121744
01/12/2022,129596
01/01/2023,104837
01/02/2023,94515
01/03/2023,114779
01/04/2023,97195
01/05/2023,107205
01/06/2023,100806
01/07/2023,103468
01/08/2023,113171
01/09/2023,113365
01/10/2023,119593
01/11/2023,111359
01/12/2023,112543
01/01/2024,89802
01/02/2024,97303
01/03/2024,103510
01/04/2024,103198
01/05/2024,106005
01/06/2024,101696
01/07/2024,98665
01/08/2024,100899
01/09/2024,88874
01/10/2024,92404
01/11/2024,90402
01/12/2024,95972
01/01/2025,81019
01/02/2025,76627
01/03/2025,85362
01/04/2025,81613
01/05/2025,81773
